total_nights,avg_adr,cancel_rate,volume,opt_index
11,108.50342639593909,0.30456852791878175,394,75.45669754438403
5,113.63245358432182,0.3432181536874678,7756,74.63173266613401
10,108.64766990291263,0.3142100617828773,1133,74.50947883015279
1,97.1994472386347,0.2538209873528981,20479,72.52818757036853
6,120.50086786551994,0.39874902267396406,3837,72.45126457277938
9,115.85401442307692,0.3762019230769231,832,72.2695114009338
13,112.73312056737588,0.3617021276595745,141,71.95731100045269
8,115.0445739130435,0.3834782608695652,1150,70.92748078638942
14,95.28827661909989,0.28210757409440174,911,68.40673206244932
7,103.78207072463768,0.3427246376811594,8625,68.21339813773577
4,105.38836317430982,0.36611990296869584,17314,66.80358587490183
3,105.69509893455098,0.4205368081078071,26937,61.24641939597603
12,107.68788990825688,0.44954128440366975,218,59.2777375641781
2,99.03432635553763,0.44433038823917587,27277,55.03036567697635
15,95.37958333333333,0.4861111111111111,72,49.014508101851845
21,77.98267605633804,0.49295774647887325,71,39.540511803213654
